state,district,month,bio_age_5_17,bio_age_17_plus,total_bio_updates,child_to_adult_ratio,child_bio_share,Bio_Stress_Index,LOW_CHILD_COMPLIANCE,INFRA_STRESS,ADULT_SPIKE,CATCH_UP_SPIKE,child_change,adult_change,FUTURE_SURGE_RISK
Andaman & Nicobar Islands,Andamans,2025-03,16,193,209,0.082901554404145,0.0765550239234449,1.31501677852349,1,0,0,0,,,0
Andaman & Nicobar Islands,Andamans,2025-04,17,167,184,0.1017964071856287,0.092391304347826,1.157718120805369,0,0,0,0,1.0,-26.0,1
Andaman & Nicobar Islands,Andamans,2025-05,22,158,180,0.1392405063291139,0.1222222222222222,1.1325503355704698,0,0,0,0,5.0,-9.0,1
Andaman & Nicobar Islands,Andamans,2025-06,11,129,140,0.0852713178294573,0.0785714285714285,0.8808724832214765,1,0,0,0,-11.0,-29.0,0
Andaman & Nicobar Islands,Andamans,2025-07,20,239,259,0.0836820083682008,0.0772200772200772,1.6296140939597314,1,1,0,0,9.0,110.0,0
Andaman & Nicobar Islands,Andamans,2025-09,76,241,317,0.3153526970954357,0.2397476340694006,1.994546979865772,0,1,0,0,56.0,2.0,0
Andaman & Nicobar Islands,Andamans,2025-10,43,139,182,0.3093525179856115,0.2362637362637362,1.1451342281879195,0,0,0,0,-33.0,-102.0,0
Andaman & Nicobar Islands,Andamans,2025-11,48,174,222,0.2758620689655172,0.2162162162162162,1.3968120805369126,0,0,0,0,5.0,35.0,0
Andaman & Nicobar Islands,Andamans,2025-12,90,232,322,0.3879310344827586,0.2795031055900621,2.026006711409396,0,1,0,0,42.0,58.0,0
Andaman & Nicobar Islands,Nicobars,2025-09,1,0,1,,1.0,0.00629194630872483,0,0,0,0,,,0
Andaman & Nicobar Islands,Nicobars,2025-12,0,1,1,0.0,0.0,0.00629194630872483,1,0,1,1,-1.0,1.0,0
Andaman & Nicobar Islands,South Andaman,2025-09,24,87,111,0.2758620689655172,0.2162162162162162,0.6984060402684563,0,0,0,0,,,0
Andaman & Nicobar Islands,South Andaman,2025-10,16,54,70,0.2962962962962963,0.2285714285714285,0.4404362416107382,0,0,0,0,-8.0,-33.0,0
Andaman & Nicobar Islands,South Andaman,2025-11,10,71,81,0.1408450704225352,0.1234567901234567,0.5096476510067114,0,0,0,0,-6.0,17.0,0
Andaman & Nicobar Islands,South Andaman,2025-12,11,94,105,0.1170212765957446,0.1047619047619047,0.6606543624161074,0,0,0,0,1.0,23.0,0
Andaman and Nicobar Islands,Nicobar,2025-03,178,101,279,1.7623762376237624,0.6379928315412187,0.4113246696516326,0,0,0,0,,,0
Andaman and Nicobar Islands,Nicobar,2025-04,151,117,268,1.290598290598291,0.5634328358208955,0.3951075679807797,0,0,0,0,-27.0,16.0,0
Andaman and Nicobar Islands,Nicobar,2025-05,34,50,84,0.68,0.4047619047619047,0.123839685486513,1,0,0,0,-117.0,-67.0,0
Andaman and Nicobar Islands,Nicobar,2025-06,61,75,136,0.8133333333333334,0.4485294117647059,0.2005023479305449,1,0,0,0,27.0,25.0,0
Andaman and Nicobar Islands,Nicobar,2025-07,95,147,242,0.6462585034013606,0.3925619834710744,0.3567762367587638,1,0,1,1,34.0,72.0,0
Andaman and Nicobar Islands,Nicobar,2025-09,93,155,248,0.6,0.375,0.365621928579229,1,0,1,1,-2.0,8.0,0
Andaman and Nicobar Islands,Nicobar,2025-10,36,63,99,0.5714285714285714,0.3636363636363636,0.1459539150376761,1,0,0,0,-57.0,-92.0,0
Andaman and Nicobar Islands,Nicobar,2025-11,132,58,190,2.2758620689655173,0.6947368421052632,0.2801135743147319,0,0,0,0,96.0,-5.0,1
Andaman and Nicobar Islands,Nicobar,2025-12,212,53,265,4.0,0.8,0.3906847220705471,0,0,0,0,80.0,-5.0,1
Andaman and Nicobar Islands,North And Middle Andaman,2025-03,470,347,817,1.3544668587896254,0.5752753977968176,1.2044883695533473,0,0,0,0,,,0
Andaman and Nicobar Islands,North And Middle Andaman,2025-04,623,348,971,1.7902298850574712,0.6416065911431514,1.4315277929452876,0,0,0,0,153.0,1.0,0
Andaman and Nicobar Islands,North And Middle Andaman,2025-05,272,250,522,1.088,0.5210727969348659,0.7695751883804739,0,0,0,0,-351.0,-98.0,0
Andaman and Nicobar Islands,North And Middle Andaman,2025-06,292,453,745,0.6445916114790287,0.3919463087248322,1.0983400677077646,1,0,1,1,20.0,203.0,0
Andaman and Nicobar Islands,North And Middle Andaman,2025-07,351,648,999,0.5416666666666666,0.3513513513513513,1.4728076881074588,1,0,1,1,59.0,195.0,0
