state,district,month,bio_age_5_17,bio_age_17_plus
Andaman & Nicobar Islands,Andamans,2025-03,16,193
Andaman & Nicobar Islands,Andamans,2025-04,17,167
Andaman & Nicobar Islands,Andamans,2025-05,22,158
Andaman & Nicobar Islands,Andamans,2025-06,11,129
Andaman & Nicobar Islands,Andamans,2025-07,20,239
Andaman & Nicobar Islands,Andamans,2025-09,76,241
Andaman & Nicobar Islands,Andamans,2025-10,43,139
Andaman & Nicobar Islands,Andamans,2025-11,48,174
Andaman & Nicobar Islands,Andamans,2025-12,90,232
Andaman & Nicobar Islands,Nicobars,2025-09,1,0
Andaman & Nicobar Islands,Nicobars,2025-12,0,1
Andaman & Nicobar Islands,South Andaman,2025-09,24,87
Andaman & Nicobar Islands,South Andaman,2025-10,16,54
Andaman & Nicobar Islands,South Andaman,2025-11,10,71
Andaman & Nicobar Islands,South Andaman,2025-12,11,94
Andaman and Nicobar Islands,Nicobar,2025-03,178,101
Andaman and Nicobar Islands,Nicobar,2025-04,151,117
Andaman and Nicobar Islands,Nicobar,2025-05,34,50
Andaman and Nicobar Islands,Nicobar,2025-06,61,75
Andaman and Nicobar Islands,Nicobar,2025-07,95,147
Andaman and Nicobar Islands,Nicobar,2025-09,93,155
Andaman and Nicobar Islands,Nicobar,2025-10,36,63
Andaman and Nicobar Islands,Nicobar,2025-11,132,58
Andaman and Nicobar Islands,Nicobar,2025-12,212,53
Andaman and Nicobar Islands,North And Middle Andaman,2025-03,470,347
Andaman and Nicobar Islands,North And Middle Andaman,2025-04,623,348
Andaman and Nicobar Islands,North And Middle Andaman,2025-05,272,250
Andaman and Nicobar Islands,North And Middle Andaman,2025-06,292,453
Andaman and Nicobar Islands,North And Middle Andaman,2025-07,351,648
Andaman and Nicobar Islands,North And Middle Andaman,2025-09,559,187
Andaman and Nicobar Islands,North And Middle Andaman,2025-10,303,108
Andaman and Nicobar Islands,North And Middle Andaman,2025-11,467,114
Andaman and Nicobar Islands,North And Middle Andaman,2025-12,443,148
Andaman and Nicobar Islands,South Andaman,2025-03,948,450
Andaman and Nicobar Islands,South Andaman,2025-04,839,482
Andaman and Nicobar Islands,South Andaman,2025-05,654,455
Andaman and Nicobar Islands,South Andaman,2025-06,481,442
Andaman and Nicobar Islands,South Andaman,2025-07,629,699
Andaman and Nicobar Islands,South Andaman,2025-09,1045,285
Andaman and Nicobar Islands,South Andaman,2025-10,542,190
Andaman and Nicobar Islands,South Andaman,2025-11,532,216
Andaman and Nicobar Islands,South Andaman,2025-12,959,272
Andhra Pradesh,Adilabad,2025-03,897,4366
Andhra Pradesh,Adilabad,2025-04,694,2822
Andhra Pradesh,Adilabad,2025-05,961,2457
Andhra Pradesh,Adilabad,2025-06,1921,3719
Andhra Pradesh,Adilabad,2025-07,1321,5807
Andhra Pradesh,Adilabad,2025-09,1108,6511
Andhra Pradesh,Adilabad,2025-10,2245,5259
Andhra Pradesh,Adilabad,2025-11,1420,4140
Andhra Pradesh,Adilabad,2025-12,1641,4749
Andhra Pradesh,Alluri Sitharama Raju,2025-03,585,1408
Andhra Pradesh,Alluri Sitharama Raju,2025-04,877,1092
Andhra Pradesh,Alluri Sitharama Raju,2025-05,1125,964
Andhra Pradesh,Alluri Sitharama Raju,2025-06,1717,1219
Andhra Pradesh,Alluri Sitharama Raju,2025-07,718,1130
Andhra Pradesh,Alluri Sitharama Raju,2025-09,700,711
Andhra Pradesh,Alluri Sitharama Raju,2025-10,749,1270
Andhra Pradesh,Alluri Sitharama Raju,2025-11,1099,1013
Andhra Pradesh,Alluri Sitharama Raju,2025-12,868,1362
Andhra Pradesh,Anakapalli,2025-03,218,234
Andhra Pradesh,Anakapalli,2025-04,598,342
Andhra Pradesh,Anakapalli,2025-05,565,480
Andhra Pradesh,Anakapalli,2025-06,579,449
Andhra Pradesh,Anakapalli,2025-07,214,281
Andhra Pradesh,Anakapalli,2025-09,111,292
Andhra Pradesh,Anakapalli,2025-10,373,281
Andhra Pradesh,Anakapalli,2025-11,429,303
Andhra Pradesh,Anakapalli,2025-12,455,519
Andhra Pradesh,Anantapur,2025-03,3363,6499
Andhra Pradesh,Anantapur,2025-04,5252,6078
Andhra Pradesh,Anantapur,2025-05,5334,6348
Andhra Pradesh,Anantapur,2025-06,5129,6852
Andhra Pradesh,Anantapur,2025-07,1990,5806
Andhra Pradesh,Anantapur,2025-09,1548,4191
Andhra Pradesh,Anantapur,2025-10,5574,6560
Andhra Pradesh,Anantapur,2025-11,4338,6853
Andhra Pradesh,Anantapur,2025-12,3306,8544
Andhra Pradesh,Ananthapur,2025-03,11722,2215
Andhra Pradesh,Ananthapur,2025-04,15832,2062
Andhra Pradesh,Ananthapur,2025-05,10603,2055
Andhra Pradesh,Ananthapur,2025-06,8820,2534
Andhra Pradesh,Ananthapur,2025-07,2655,2114
Andhra Pradesh,Ananthapur,2025-09,1685,1516
Andhra Pradesh,Ananthapur,2025-10,5552,2105
Andhra Pradesh,Ananthapur,2025-11,3738,2396
Andhra Pradesh,Ananthapur,2025-12,3475,3053
Andhra Pradesh,Ananthapuramu,2025-03,14063,2087
Andhra Pradesh,Ananthapuramu,2025-04,21835,1945
Andhra Pradesh,Ananthapuramu,2025-05,16807,2592
Andhra Pradesh,Ananthapuramu,2025-06,13860,2868
Andhra Pradesh,Ananthapuramu,2025-07,3740,2292
Andhra Pradesh,Ananthapuramu,2025-09,2517,1352
Andhra Pradesh,Ananthapuramu,2025-10,7446,1540
Andhra Pradesh,Ananthapuramu,2025-11,5257,1819
Andhra Pradesh,Ananthapuramu,2025-12,5008,2574
Andhra Pradesh,Annamayya,2025-03,235,270
Andhra Pradesh,Annamayya,2025-04,760,371
Andhra Pradesh,Annamayya,2025-05,1317,595
Andhra Pradesh,Annamayya,2025-06,903,507
Andhra Pradesh,Annamayya,2025-07,361,491
Andhra Pradesh,Annamayya,2025-09,191,385
Andhra Pradesh,Annamayya,2025-10,634,326
Andhra Pradesh,Annamayya,2025-11,655,372
Andhra Pradesh,Annamayya,2025-12,734,605
Andhra Pradesh,Bapatla,2025-03,114,131
Andhra Pradesh,Bapatla,2025-04,220,165
Andhra Pradesh,Bapatla,2025-05,508,303
Andhra Pradesh,Bapatla,2025-06,822,465
Andhra Pradesh,Bapatla,2025-07,171,165
Andhra Pradesh,Bapatla,2025-09,134,182
Andhra Pradesh,Bapatla,2025-10,462,171
Andhra Pradesh,Bapatla,2025-11,769,203
Andhra Pradesh,Bapatla,2025-12,699,298
Andhra Pradesh,Chittoor,2025-03,18773,9414
Andhra Pradesh,Chittoor,2025-04,35284,10206
Andhra Pradesh,Chittoor,2025-05,25633,9255
Andhra Pradesh,Chittoor,2025-06,21156,9672
Andhra Pradesh,Chittoor,2025-07,8888,10455
Andhra Pradesh,Chittoor,2025-09,5089,7068
Andhra Pradesh,Chittoor,2025-10,19337,6698
Andhra Pradesh,Chittoor,2025-11,22221,8662
Andhra Pradesh,Chittoor,2025-12,12329,11265
Andhra Pradesh,Cuddapah,2025-03,11599,5222
Andhra Pradesh,Cuddapah,2025-04,22219,5703
Andhra Pradesh,Cuddapah,2025-05,18656,5900
Andhra Pradesh,Cuddapah,2025-06,17592,6976
Andhra Pradesh,Cuddapah,2025-07,7080,7148
Andhra Pradesh,Cuddapah,2025-09,3714,4701
Andhra Pradesh,Cuddapah,2025-10,10849,5852
Andhra Pradesh,Cuddapah,2025-11,11718,5958
Andhra Pradesh,Cuddapah,2025-12,11700,8209
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,116,181
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,321,247
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,615,414
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,668,528
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,182,300
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,200,309
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,653,240
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,941,295
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,656,440
Andhra Pradesh,East Godavari,2025-03,18286,11512
Andhra Pradesh,East Godavari,2025-04,39510,11585
Andhra Pradesh,East Godavari,2025-05,29904,11079
Andhra Pradesh,East Godavari,2025-06,30081,12219
Andhra Pradesh,East Godavari,2025-07,12528,13506
Andhra Pradesh,East Godavari,2025-09,7385,7853
Andhra Pradesh,East Godavari,2025-10,20988,7726
Andhra Pradesh,East Godavari,2025-11,26682,9204
Andhra Pradesh,East Godavari,2025-12,19540,12262
Andhra Pradesh,Eluru,2025-03,171,308
Andhra Pradesh,Eluru,2025-04,402,462
Andhra Pradesh,Eluru,2025-05,801,734
Andhra Pradesh,Eluru,2025-06,899,693
Andhra Pradesh,Eluru,2025-07,235,374
Andhra Pradesh,Eluru,2025-09,215,392
Andhra Pradesh,Eluru,2025-10,381,267
Andhra Pradesh,Eluru,2025-11,584,285
Andhra Pradesh,Eluru,2025-12,600,427
Andhra Pradesh,Guntur,2025-03,19655,11604
Andhra Pradesh,Guntur,2025-04,40190,11344
Andhra Pradesh,Guntur,2025-05,28530,12010
Andhra Pradesh,Guntur,2025-06,28176,13524
Andhra Pradesh,Guntur,2025-07,11415,14196
Andhra Pradesh,Guntur,2025-09,4976,8246
Andhra Pradesh,Guntur,2025-10,17165,8852
Andhra Pradesh,Guntur,2025-11,21021,10826
Andhra Pradesh,Guntur,2025-12,16537,13427
Andhra Pradesh,Hyderabad,2025-03,2070,9936
Andhra Pradesh,Hyderabad,2025-04,1935,8839
Andhra Pradesh,Hyderabad,2025-05,2418,8605
Andhra Pradesh,Hyderabad,2025-06,2416,9534
Andhra Pradesh,Hyderabad,2025-07,3151,12504
Andhra Pradesh,Hyderabad,2025-09,2138,8364
Andhra Pradesh,Hyderabad,2025-10,2851,6315
Andhra Pradesh,Hyderabad,2025-11,3097,7432
Andhra Pradesh,Hyderabad,2025-12,3287,10852
Andhra Pradesh,K.V.Rangareddy,2025-07,10,12
Andhra Pradesh,K.V.Rangareddy,2025-09,33,177
Andhra Pradesh,K.V.Rangareddy,2025-10,52,164
Andhra Pradesh,K.V.Rangareddy,2025-11,29,138
Andhra Pradesh,K.V.Rangareddy,2025-12,44,114
Andhra Pradesh,K.v. Rangareddy,2025-03,11,6
Andhra Pradesh,K.v. Rangareddy,2025-06,23,12
Andhra Pradesh,K.v. Rangareddy,2025-09,34,52
Andhra Pradesh,K.v. Rangareddy,2025-10,47,39
Andhra Pradesh,K.v. Rangareddy,2025-11,37,35
Andhra Pradesh,K.v. Rangareddy,2025-12,64,44
Andhra Pradesh,Kakinada,2025-03,203,317
Andhra Pradesh,Kakinada,2025-04,710,613
Andhra Pradesh,Kakinada,2025-05,1272,742
Andhra Pradesh,Kakinada,2025-06,1091,690
Andhra Pradesh,Kakinada,2025-07,524,607
Andhra Pradesh,Kakinada,2025-09,250,346
Andhra Pradesh,Kakinada,2025-10,954,324
Andhra Pradesh,Kakinada,2025-11,1247,382
Andhra Pradesh,Kakinada,2025-12,890,536
Andhra Pradesh,Karim Nagar,2025-03,26,117
Andhra Pradesh,Karim Nagar,2025-04,25,34
Andhra Pradesh,Karim Nagar,2025-05,40,116
Andhra Pradesh,Karim Nagar,2025-06,13,57
Andhra Pradesh,Karim Nagar,2025-07,18,99
Andhra Pradesh,Karim Nagar,2025-09,36,226
Andhra Pradesh,Karim Nagar,2025-10,82,163
Andhra Pradesh,Karim Nagar,2025-11,76,223
Andhra Pradesh,Karim Nagar,2025-12,71,275
Andhra Pradesh,Karimnagar,2025-03,269,1150
Andhra Pradesh,Karimnagar,2025-04,140,487
Andhra Pradesh,Karimnagar,2025-05,426,1049
Andhra Pradesh,Karimnagar,2025-06,491,1267
Andhra Pradesh,Karimnagar,2025-07,396,1614
Andhra Pradesh,Karimnagar,2025-09,392,2746
Andhra Pradesh,Karimnagar,2025-10,797,1494
Andhra Pradesh,Karimnagar,2025-11,639,1375
Andhra Pradesh,Karimnagar,2025-12,788,1607
Andhra Pradesh,Khammam,2025-03,1070,2855
Andhra Pradesh,Khammam,2025-04,790,2151
Andhra Pradesh,Khammam,2025-05,1378,2496
Andhra Pradesh,Khammam,2025-06,2069,3017
Andhra Pradesh,Khammam,2025-07,1649,4479
Andhra Pradesh,Khammam,2025-09,1992,2699
Andhra Pradesh,Khammam,2025-10,2726,3065
Andhra Pradesh,Khammam,2025-11,2122,2292
Andhra Pradesh,Khammam,2025-12,1740,2368
Andhra Pradesh,Krishna,2025-03,16816,9887
Andhra Pradesh,Krishna,2025-04,29038,9999
Andhra Pradesh,Krishna,2025-05,20478,9521
Andhra Pradesh,Krishna,2025-06,20590,10292
Andhra Pradesh,Krishna,2025-07,11727,11239
Andhra Pradesh,Krishna,2025-09,5652,9254
Andhra Pradesh,Krishna,2025-10,13069,7233
Andhra Pradesh,Krishna,2025-11,17877,8508
Andhra Pradesh,Krishna,2025-12,11541,10526
Andhra Pradesh,Kurnool,2025-03,27662,10576
Andhra Pradesh,Kurnool,2025-04,56618,11320
Andhra Pradesh,Kurnool,2025-05,38609,11871
Andhra Pradesh,Kurnool,2025-06,34015,13321
Andhra Pradesh,Kurnool,2025-07,15103,14834
Andhra Pradesh,Kurnool,2025-09,7839,9118
Andhra Pradesh,Kurnool,2025-10,23968,10978
Andhra Pradesh,Kurnool,2025-11,21105,11578
Andhra Pradesh,Kurnool,2025-12,18073,14045
Andhra Pradesh,Mahabub Nagar,2025-03,45,269
Andhra Pradesh,Mahabub Nagar,2025-04,35,86
Andhra Pradesh,Mahabub Nagar,2025-05,37,79
Andhra Pradesh,Mahabub Nagar,2025-06,71,371
Andhra Pradesh,Mahabub Nagar,2025-07,65,395
Andhra Pradesh,Mahabub Nagar,2025-09,128,3755
Andhra Pradesh,Mahabub Nagar,2025-10,174,3184
Andhra Pradesh,Mahabub Nagar,2025-11,162,2468
Andhra Pradesh,Mahabub Nagar,2025-12,105,2423
Andhra Pradesh,Mahabubnagar,2025-09,11,31
Andhra Pradesh,Mahabubnagar,2025-10,14,20
Andhra Pradesh,Mahabubnagar,2025-11,6,12
Andhra Pradesh,Mahabubnagar,2025-12,8,18
Andhra Pradesh,Mahbubnagar,2025-03,274,1114
Andhra Pradesh,Mahbubnagar,2025-04,189,664
Andhra Pradesh,Mahbubnagar,2025-05,244,696
Andhra Pradesh,Mahbubnagar,2025-06,411,977
Andhra Pradesh,Mahbubnagar,2025-07,276,1304
Andhra Pradesh,Mahbubnagar,2025-09,299,1922
Andhra Pradesh,Mahbubnagar,2025-10,540,1789
Andhra Pradesh,Mahbubnagar,2025-11,452,1429
Andhra Pradesh,Mahbubnagar,2025-12,375,1784
Andhra Pradesh,Medak,2025-03,421,1488
Andhra Pradesh,Medak,2025-04,382,1320
Andhra Pradesh,Medak,2025-05,393,979
Andhra Pradesh,Medak,2025-06,701,1461
Andhra Pradesh,Medak,2025-07,577,1893
Andhra Pradesh,Medak,2025-09,843,2763
Andhra Pradesh,Medak,2025-10,1051,2312
Andhra Pradesh,Medak,2025-11,924,1929
Andhra Pradesh,Medak,2025-12,989,2019
Andhra Pradesh,N. T. R,2025-03,380,740
Andhra Pradesh,N. T. R,2025-04,993,944
Andhra Pradesh,N. T. R,2025-05,1040,991
Andhra Pradesh,N. T. R,2025-06,1007,836
Andhra Pradesh,N. T. R,2025-07,788,1079
Andhra Pradesh,N. T. R,2025-09,329,638
Andhra Pradesh,N. T. R,2025-10,711,442
Andhra Pradesh,N. T. R,2025-11,879,484
Andhra Pradesh,N. T. R,2025-12,661,617
Andhra Pradesh,Nalgonda,2025-03,292,1601
Andhra Pradesh,Nalgonda,2025-04,254,1018
Andhra Pradesh,Nalgonda,2025-05,459,1883
Andhra Pradesh,Nalgonda,2025-06,778,2909
Andhra Pradesh,Nalgonda,2025-07,583,3365
Andhra Pradesh,Nalgonda,2025-09,490,4210
Andhra Pradesh,Nalgonda,2025-10,992,4806
Andhra Pradesh,Nalgonda,2025-11,859,3644
Andhra Pradesh,Nalgonda,2025-12,933,3577
Andhra Pradesh,Nandyal,2025-03,283,280
Andhra Pradesh,Nandyal,2025-04,658,411
Andhra Pradesh,Nandyal,2025-05,1107,649
Andhra Pradesh,Nandyal,2025-06,1222,735
Andhra Pradesh,Nandyal,2025-07,338,513
Andhra Pradesh,Nandyal,2025-09,220,388
Andhra Pradesh,Nandyal,2025-10,855,407
Andhra Pradesh,Nandyal,2025-11,814,415
Andhra Pradesh,Nandyal,2025-12,840,505
Andhra Pradesh,Nellore,2025-03,5113,6240
Andhra Pradesh,Nellore,2025-04,21231,6487
Andhra Pradesh,Nellore,2025-05,17287,6800
Andhra Pradesh,Nellore,2025-06,16669,7656
Andhra Pradesh,Nellore,2025-07,6759,8418
Andhra Pradesh,Nellore,2025-09,3391,5019
Andhra Pradesh,Nellore,2025-10,9921,5115
