state,district,month,bio_age_5_17,bio_age_17_plus,total_bio_updates,child_to_adult_ratio,child_bio_share,Bio_Stress_Index
Andaman & Nicobar Islands,Andamans,2025-03,16,193,209,0.08290155440414508,0.07655502392344497,1.3150167785234899
Andaman & Nicobar Islands,Andamans,2025-04,17,167,184,0.10179640718562874,0.09239130434782608,1.157718120805369
Andaman & Nicobar Islands,Andamans,2025-05,22,158,180,0.13924050632911392,0.12222222222222222,1.1325503355704698
Andaman & Nicobar Islands,Andamans,2025-06,11,129,140,0.08527131782945736,0.07857142857142857,0.8808724832214765
Andaman & Nicobar Islands,Andamans,2025-07,20,239,259,0.08368200836820083,0.07722007722007722,1.6296140939597314
Andaman & Nicobar Islands,Andamans,2025-09,76,241,317,0.3153526970954357,0.23974763406940064,1.9945469798657718
Andaman & Nicobar Islands,Andamans,2025-10,43,139,182,0.30935251798561153,0.23626373626373626,1.1451342281879195
Andaman & Nicobar Islands,Andamans,2025-11,48,174,222,0.27586206896551724,0.21621621621621623,1.3968120805369126
Andaman & Nicobar Islands,Andamans,2025-12,90,232,322,0.3879310344827586,0.2795031055900621,2.026006711409396
Andaman & Nicobar Islands,Nicobars,2025-09,1,0,1,,1.0,0.006291946308724832
Andaman & Nicobar Islands,Nicobars,2025-12,0,1,1,0.0,0.0,0.006291946308724832
Andaman & Nicobar Islands,South Andaman,2025-09,24,87,111,0.27586206896551724,0.21621621621621623,0.6984060402684563
Andaman & Nicobar Islands,South Andaman,2025-10,16,54,70,0.2962962962962963,0.22857142857142856,0.44043624161073824
Andaman & Nicobar Islands,South Andaman,2025-11,10,71,81,0.14084507042253522,0.12345679012345678,0.5096476510067114
Andaman & Nicobar Islands,South Andaman,2025-12,11,94,105,0.11702127659574468,0.10476190476190476,0.6606543624161074
Andaman and Nicobar Islands,Nicobar,2025-03,178,101,279,1.7623762376237624,0.6379928315412187,0.4113246696516326
Andaman and Nicobar Islands,Nicobar,2025-04,151,117,268,1.2905982905982907,0.5634328358208955,0.39510756798077973
Andaman and Nicobar Islands,Nicobar,2025-05,34,50,84,0.68,0.40476190476190477,0.12383968548651304
Andaman and Nicobar Islands,Nicobar,2025-06,61,75,136,0.8133333333333334,0.4485294117647059,0.20050234793054494
Andaman and Nicobar Islands,Nicobar,2025-07,95,147,242,0.6462585034013606,0.3925619834710744,0.3567762367587638
Andaman and Nicobar Islands,Nicobar,2025-09,93,155,248,0.6,0.375,0.365621928579229
Andaman and Nicobar Islands,Nicobar,2025-10,36,63,99,0.5714285714285714,0.36363636363636365,0.1459539150376761
Andaman and Nicobar Islands,Nicobar,2025-11,132,58,190,2.2758620689655173,0.6947368421052632,0.2801135743147319
Andaman and Nicobar Islands,Nicobar,2025-12,212,53,265,4.0,0.8,0.3906847220705471
Andaman and Nicobar Islands,North And Middle Andaman,2025-03,470,347,817,1.3544668587896254,0.5752753977968176,1.2044883695533473
Andaman and Nicobar Islands,North And Middle Andaman,2025-04,623,348,971,1.7902298850574712,0.6416065911431514,1.4315277929452876
Andaman and Nicobar Islands,North And Middle Andaman,2025-05,272,250,522,1.088,0.5210727969348659,0.7695751883804739
Andaman and Nicobar Islands,North And Middle Andaman,2025-06,292,453,745,0.6445916114790287,0.3919463087248322,1.0983400677077646
Andaman and Nicobar Islands,North And Middle Andaman,2025-07,351,648,999,0.5416666666666666,0.35135135135135137,1.4728076881074588
Andaman and Nicobar Islands,North And Middle Andaman,2025-09,559,187,746,2.9893048128342246,0.7493297587131368,1.099814349677842
Andaman and Nicobar Islands,North And Middle Andaman,2025-10,303,108,411,2.8055555555555554,0.7372262773722628,0.6059298897018675
Andaman and Nicobar Islands,North And Middle Andaman,2025-11,467,114,581,4.0964912280701755,0.8037865748709122,0.8565578246150486
Andaman and Nicobar Islands,North And Middle Andaman,2025-12,443,148,591,2.9932432432432434,0.7495769881556683,0.871300644315824
Andaman and Nicobar Islands,South Andaman,2025-03,948,450,1398,2.1066666666666665,0.6781115879828327,2.0610461941683957
Andaman and Nicobar Islands,South Andaman,2025-04,839,482,1321,1.7406639004149378,0.6351249053747161,1.9475264824724254
Andaman and Nicobar Islands,South Andaman,2025-05,654,455,1109,1.4373626373626374,0.5897204688908927,1.6349787048159878
Andaman and Nicobar Islands,South Andaman,2025-06,481,442,923,1.088235294117647,0.5211267605633803,1.360762258381566
Andaman and Nicobar Islands,South Andaman,2025-07,629,699,1328,0.899856938483548,0.473644578313253,1.9578464562629683
Andaman and Nicobar Islands,South Andaman,2025-09,1045,285,1330,3.6666666666666665,0.7857142857142857,1.9607950202031232
Andaman and Nicobar Islands,South Andaman,2025-10,542,190,732,2.8526315789473684,0.7404371584699454,1.0791744020967566
Andaman and Nicobar Islands,South Andaman,2025-11,532,216,748,2.462962962962963,0.7112299465240641,1.102762913617997
Andaman and Nicobar Islands,South Andaman,2025-12,959,272,1231,3.525735294117647,0.7790414297319253,1.8148411051654472
Andhra Pradesh,Adilabad,2025-03,897,4366,5263,0.2054512139257902,0.1704351130533916,0.5568199683841455
Andhra Pradesh,Adilabad,2025-04,694,2822,3516,0.24592487597448617,0.19738339021615472,0.3719891713544852
Andhra Pradesh,Adilabad,2025-05,961,2457,3418,0.39112739112739114,0.28115857226448215,0.3616208724942066
Andhra Pradesh,Adilabad,2025-06,1921,3719,5640,0.5165367034148964,0.3406028368794326,0.5967061793058295
Andhra Pradesh,Adilabad,2025-07,1321,5807,7128,0.22748407094885484,0.18532547699214366,0.754135043633325
Andhra Pradesh,Adilabad,2025-09,1108,6511,7619,0.1701735524497005,0.1454259089119307,0.8060823369026799
Andhra Pradesh,Adilabad,2025-10,2245,5259,7504,0.42688724092032704,0.29917377398720685,0.7939154555870469
Andhra Pradesh,Adilabad,2025-11,1420,4140,5560,0.34299516908212563,0.25539568345323743,0.5882422618688674
Andhra Pradesh,Adilabad,2025-12,1641,4749,6390,0.34554643082754266,0.2568075117370892,0.6760554052773494
Andhra Pradesh,Alluri Sitharama Raju,2025-03,585,1408,1993,0.41548295454545453,0.29352734570998495,0.21085734314831883
Andhra Pradesh,Alluri Sitharama Raju,2025-04,877,1092,1969,0.8031135531135531,0.4454037582529203,0.2083181679172302
Andhra Pradesh,Alluri Sitharama Raju,2025-05,1125,964,2089,1.1670124481327802,0.5385351842987075,0.2210140440726734
Andhra Pradesh,Alluri Sitharama Raju,2025-06,1717,1219,2936,1.4085315832649712,0.5848092643051771,0.3106257699365098
Andhra Pradesh,Alluri Sitharama Raju,2025-07,718,1130,1848,0.6353982300884956,0.38852813852813856,0.195516492793825
Andhra Pradesh,Alluri Sitharama Raju,2025-09,700,711,1411,0.9845288326300985,0.4961020552799433,0.1492823437944194
Andhra Pradesh,Alluri Sitharama Raju,2025-10,749,1270,2019,0.5897637795275591,0.370975730559683,0.21360811631533153
Andhra Pradesh,Alluri Sitharama Raju,2025-11,1099,1013,2112,1.0848963474827247,0.5203598484848485,0.22344742033579998
Andhra Pradesh,Alluri Sitharama Raju,2025-12,868,1362,2230,0.6372980910425844,0.38923766816143496,0.23593169855531912
Andhra Pradesh,Anakapalli,2025-03,218,234,452,0.9316239316239316,0.4823008849557522,0.04782113351883598
Andhra Pradesh,Anakapalli,2025-04,598,342,940,1.7485380116959064,0.6361702127659574,0.09945102988430492
Andhra Pradesh,Anakapalli,2025-05,565,480,1045,1.1770833333333333,0.5406698564593302,0.1105599215203177
Andhra Pradesh,Anakapalli,2025-06,579,449,1028,1.289532293986637,0.5632295719844358,0.10876133906496326
Andhra Pradesh,Anakapalli,2025-07,214,281,495,0.7615658362989324,0.43232323232323233,0.052370489141203125
Andhra Pradesh,Anakapalli,2025-09,111,292,403,0.3801369863013699,0.27543424317617865,0.042636984088696685
Andhra Pradesh,Anakapalli,2025-10,373,281,654,1.3274021352313168,0.5703363914373089,0.06919252504716533
Andhra Pradesh,Anakapalli,2025-11,429,303,732,1.4158415841584158,0.5860655737704918,0.0774448445482034
Andhra Pradesh,Anakapalli,2025-12,455,519,974,0.8766859344894027,0.4671457905544148,0.10304819479501381
Andhra Pradesh,Anantapur,2025-03,3363,6499,9862,0.5174642252654255,0.34100588116000813,1.0433894220415054
Andhra Pradesh,Anantapur,2025-04,5252,6078,11330,0.864100032905561,0.46354810238305383,1.1987023070097604
Andhra Pradesh,Anantapur,2025-05,5334,6348,11682,0.8402646502835539,0.4565998972778634,1.2359435437323936
Andhra Pradesh,Anantapur,2025-06,5129,6852,11981,0.7485405720957384,0.4280944829313079,1.2675774351530396
Andhra Pradesh,Anantapur,2025-07,1990,5806,7796,0.3427488804684809,0.2552591072344792,0.8248087542319587
Andhra Pradesh,Anantapur,2025-09,1548,4191,5739,0.3693629205440229,0.2697334030318871,0.6071802771340701
Andhra Pradesh,Anantapur,2025-10,5574,6560,12134,0.8496951219512195,0.45937036426569966,1.2837646772512297
Andhra Pradesh,Anantapur,2025-11,4338,6853,11191,0.6330074419962061,0.38763291931016,1.1839962504630386
Andhra Pradesh,Anantapur,2025-12,3306,8544,11850,0.386938202247191,0.2789873417721519,1.2537177703500142
Andhra Pradesh,Ananthapur,2025-03,11722,2215,13937,5.292099322799097,0.8410705316782665,1.4745202164867635
Andhra Pradesh,Ananthapur,2025-04,15832,2062,17894,7.677982541222114,0.88476584329943,1.8931667327125024
Andhra Pradesh,Ananthapur,2025-05,10603,2055,12658,5.159610705596107,0.8376520777373992,1.3392033364633316
Andhra Pradesh,Ananthapur,2025-06,8820,2534,11354,3.4806629834254146,0.7768187422934648,1.201241482240849
Andhra Pradesh,Ananthapur,2025-07,2655,2114,4769,1.2559129612109745,0.556720486475152,0.5045552782109044
Andhra Pradesh,Ananthapur,2025-09,1685,1516,3201,1.1114775725593669,0.5263980006248048,0.33866249644644686
Andhra Pradesh,Ananthapur,2025-10,5552,2105,7657,2.6375296912114012,0.7250881546297505,0.810102697685237
Andhra Pradesh,Ananthapur,2025-11,3738,2396,6134,1.5601001669449082,0.6093902836648191,0.6489708694790706
Andhra Pradesh,Ananthapur,2025-12,3475,3053,6528,1.1382246970193253,0.5323223039215687,0.690655662856109
Andhra Pradesh,Ananthapuramu,2025-03,14063,2087,16150,6.738380450407283,0.8707739938080495,1.7086533325867281
Andhra Pradesh,Ananthapuramu,2025-04,21835,1945,23780,11.226221079691516,0.9182085786375105,2.5158994581369902
Andhra Pradesh,Ananthapuramu,2025-05,16807,2592,19399,6.484182098765432,0.8663848651992371,2.0523941794953524
Andhra Pradesh,Ananthapuramu,2025-06,13860,2868,16728,4.832635983263598,0.8285509325681492,1.7698051360687794
Andhra Pradesh,Ananthapuramu,2025-07,3740,2292,6032,1.631762652705061,0.620026525198939,0.6381793747469439
Andhra Pradesh,Ananthapuramu,2025-09,2517,1352,3869,1.8616863905325445,0.6505556991470665,0.40933620704508056
Andhra Pradesh,Ananthapuramu,2025-10,7446,1540,8986,4.835064935064935,0.8286223013576675,0.9507095261067702
Andhra Pradesh,Ananthapuramu,2025-11,5257,1819,7076,2.8900494777350194,0.7429338609383833,0.7486334972992996
Andhra Pradesh,Ananthapuramu,2025-12,5008,2574,7582,1.9456099456099456,0.660511738327618,0.802167775088085
Andhra Pradesh,Annamayya,2025-03,235,270,505,0.8703703703703703,0.46534653465346537,0.05342847882082339
Andhra Pradesh,Annamayya,2025-04,760,371,1131,2.0485175202156336,0.671971706454465,0.11965863276505198
Andhra Pradesh,Annamayya,2025-05,1317,595,1912,2.2134453781512606,0.6888075313807531,0.20228762674339468
Andhra Pradesh,Annamayya,2025-06,903,507,1410,1.7810650887573964,0.6404255319148936,0.14917654482645737
Andhra Pradesh,Annamayya,2025-07,361,491,852,0.7352342158859471,0.42370892018779344,0.09014072070364658
Andhra Pradesh,Annamayya,2025-09,191,385,576,0.4961038961038961,0.3315972222222222,0.060940205546127266
Andhra Pradesh,Annamayya,2025-10,634,326,960,1.9447852760736197,0.6604166666666667,0.10156700924354545
Andhra Pradesh,Annamayya,2025-11,655,372,1027,1.760752688172043,0.6377799415774099,0.10865554009700122
Andhra Pradesh,Annamayya,2025-12,734,605,1339,1.2132231404958678,0.5481702763256161,0.1416648181011535
Andhra Pradesh,Bapatla,2025-03,114,131,245,0.8702290076335878,0.46530612244897956,0.025920747150696494
