Month,state,district,demo_age_5_17,demo_age_17_,total_demo_updates,youth_update_share,adult_update_share,adult_update_dominance,youth_update_rate,state_avg_demo_updates,DUII
Jan-25,Karnataka,Bengaluru,23110,148890,172000,0.134360465,0.865639535,6.442665513,0.134360465,14782.23077,11.63559159
Jan-25,Gujarat,Surat,22222,190785,213007,0.10432521,0.89567479,8.585410854,0.10432521,21631.58974,9.847034015
Jul-25,Arunachal Pradesh,Changlang,41,238,279,0.146953405,0.853046595,5.804878049,0.146953405,28.70833333,9.718432511
May-25,Karnataka,Bengaluru,545,4025,4570,0.119256018,0.880743982,7.385321101,0.119256018,478.7692308,9.545308483
Jul-25,Karnataka,Bengaluru,566,3615,4181,0.135374312,0.864625688,6.386925795,0.135374312,471.2692308,8.871786501
Jun-25,Karnataka,Bengaluru,785,5349,6134,0.12797522,0.87202478,6.814012739,0.12797522,756.5849057,8.107483977
Jan-25,Telangana,Hyderabad,17116,99588,116704,0.14666164,0.85333836,5.818415518,0.14666164,14541.575,8.025540562
Jan-25,Maharashtra,Thane,18416,169556,187972,0.097972038,0.902027962,9.206993918,0.097972038,24049.42,7.816072072
Feb-25,Karnataka,Bengaluru,608,4904,5512,0.11030479,0.88969521,8.065789474,0.11030479,724.3137255,7.609962101
Jul-25,Gujarat,Surat,439,4070,4509,0.097360834,0.902639166,9.271070615,0.097360834,612.1282051,7.366103967
Dec-25,Karnataka,Bengaluru,809,6155,6964,0.116168868,0.883831132,7.60815822,0.116168868,950.1923077,7.329042704
Jan-25,West Bengal,South 24 Parganas,12269,147324,159593,0.076876805,0.923123195,12.0078246,0.076876805,21813.04,7.316403399
Mar-25,Karnataka,Bengaluru,690,5079,5769,0.119604784,0.880395216,7.360869565,0.119604784,796.4038462,7.243812329
Oct-25,Karnataka,Bengaluru,590,4433,5023,0.117459685,0.882540315,7.513559322,0.117459685,709.5192308,7.079441659
Nov-25,Karnataka,Bengaluru,582,4413,4995,0.116516517,0.883483483,7.582474227,0.116516517,707.1346154,7.063718691
May-25,Gujarat,Surat,412,4202,4614,0.089293455,0.910706545,10.19902913,0.089293455,659.8205128,6.992810788
Jan-25,West Bengal,Murshidabad,13061,138982,152043,0.08590333,0.91409667,10.64099227,0.08590333,21813.04,6.970280163
Aug-25,Karnataka,Bengaluru,759,6348,7107,0.106796117,0.893203883,8.363636364,0.106796117,1028.730769,6.908513104
Jan-25,Maharashtra,Pune,13565,139622,153187,0.088551901,0.911448099,10.29281238,0.088551901,24049.42,6.369675443
Sep-25,Karnataka,Bengaluru,443,3809,4252,0.104186265,0.895813735,8.598194131,0.104186265,677.4,6.276941246
Apr-25,Karnataka,Bengaluru,577,4712,5289,0.109094347,0.890905653,8.166377816,0.109094347,860.6730769,6.145190482
Jan-25,Gujarat,Ahmedabad,16733,115604,132337,0.12644234,0.87355766,6.908743202,0.12644234,21631.58974,6.117765803
Nov-25,Gujarat,Surat,566,6117,6683,0.084692503,0.915307497,10.80742049,0.084692503,1114.538462,5.996204017
Sep-25,Gujarat,Surat,486,4584,5070,0.095857988,0.904142012,9.432098765,0.095857988,846.2564103,5.991091989
Jul-25,Gujarat,Ahmedabad,436,3199,3635,0.119944979,0.880055021,7.337155963,0.119944979,612.1282051,5.938298496
Jun-25,Gujarat,Ahmedabad,795,5658,6453,0.123198512,0.876801488,7.116981132,0.123198512,1088.641026,5.927573781
Mar-25,Gujarat,Surat,582,6078,6660,0.087387387,0.912612613,10.44329897,0.087387387,1137.230769,5.856331169
Sep-25,Mizoram,Aizawl,34,250,284,0.11971831,0.88028169,7.352941176,0.11971831,48.5,5.855670103
Jan-25,Uttarakhand,Udham Singh Nagar,10902,78594,89496,0.1218155,0.8781845,7.209135938,0.1218155,15376.46667,5.820322831
Feb-25,Gujarat,Surat,493,5274,5767,0.085486388,0.914513612,10.69776876,0.085486388,995.5384615,5.792845001
Jun-25,Arunachal Pradesh,Changlang,24,154,178,0.134831461,0.865168539,6.416666667,0.134831461,30.76,5.786736021
Jul-25,Rajasthan,Jaipur,378,3189,3567,0.105971405,0.894028595,8.436507937,0.105971405,616.826087,5.782829351
May-25,Maharashtra,Thane,565,6582,7147,0.079054149,0.920945851,11.64955752,0.079054149,1259.88,5.672762485
May-25,Gujarat,Ahmedabad,472,3255,3727,0.126643413,0.873356587,6.896186441,0.126643413,659.8205128,5.64850581
Jan-25,West Bengal,Uttar Dinajpur,9030,113824,122854,0.07350188,0.92649812,12.60509413,0.07350188,21813.04,5.63213564
Oct-25,Gujarat,Surat,469,5365,5834,0.080390812,0.919609188,11.43923241,0.080390812,1051.538462,5.548061448
Oct-25,Gujarat,Ahmedabad,533,5272,5805,0.091817399,0.908182601,9.891181989,0.091817399,1051.538462,5.520482809
Sep-25,Gujarat,Ahmedabad,506,4116,4622,0.109476417,0.890523583,8.134387352,0.109476417,846.2564103,5.461701612
Jan-25,Telangana,K.v. Rangareddy,12380,66977,79357,0.156003881,0.843996119,5.410096931,0.156003881,14541.575,5.457249301
