Month,state,district,demo_age_5_17,demo_age_17_,total_demo_updates,youth_update_share,adult_update_share,adult_update_dominance,youth_update_rate,state_avg_demo_updates,DUII
Feb-25,West Bengal,Bardhaman,2,1038,1040,0.001923077,0.998076923,519,0.001923077,3096.586957,0.33585364
Jun-25,Maharashtra,Bid,1,432,433,0.002309469,0.997690531,432,0.002309469,3194.039216,0.135565023
Jan-25,West Bengal,North Dinajpur,1,412,413,0.002421308,0.997578692,412,0.002421308,21813.04,0.018933629
Oct-25,West Bengal,Darjiling,1,394,395,0.002531646,0.997468354,394,0.002531646,3190.674419,0.123798278
Jan-25,West Bengal,Koch Bihar,16,5059,5075,0.003152709,0.996847291,316.1875,0.003152709,21813.04,0.232658997
Mar-25,West Bengal,Haora,4,1223,1227,0.003259984,0.996740016,305.75,0.003259984,2158.977273,0.568324649
Jul-25,Maharashtra,Buldana,4,1042,1046,0.003824092,0.996175908,260.5,0.003824092,2690.72549,0.38874274
Jan-25,West Bengal,Haora,14,3221,3235,0.004327666,0.995672334,230.0714286,0.004327666,21813.04,0.148305784
Dec-25,Maharashtra,Bid,4,915,919,0.004352557,0.995647443,228.75,0.004352557,4660.72549,0.197179603
Oct-25,Punjab,Firozpur,1,224,225,0.004444444,0.995555556,224,0.004444444,596.9259259,0.376931191
Apr-25,Odisha,Jagatsinghpur,1,212,213,0.004694836,0.995305164,212,0.004694836,693.9047619,0.306958551
Jun-25,Jharkhand,Purbi Singhbhum,1,210,211,0.004739336,0.995260664,210,0.004739336,1064.606061,0.198195377
Feb-25,West Bengal,South Dinajpur,2,387,389,0.005141388,0.994858612,193.5,0.005141388,3096.586957,0.125622179
Nov-25,West Bengal,Haora,7,1306,1313,0.005331302,0.994668698,186.5714286,0.005331302,2751.222222,0.477242438
Dec-25,West Bengal,North Dinajpur,1,183,184,0.005434783,0.994565217,183,0.005434783,3227.456522,0.057010838
Dec-25,West Bengal,Darjiling,2,363,365,0.005479452,0.994520548,181.5,0.005479452,3227.456522,0.113092151
Jan-25,West Bengal,Darjiling,2,346,348,0.005747126,0.994252874,173,0.005747126,21813.04,0.01595376
Oct-25,Jharkhand,Purbi Singhbhum,1,172,173,0.005780347,0.994219653,172,0.005780347,1203.575758,0.143738355
Jul-25,Maharashtra,Bid,4,667,671,0.005961252,0.994038748,166.75,0.005961252,2690.72549,0.249375123
Aug-25,West Bengal,South Dinajpur,2,332,334,0.005988024,0.994011976,166,0.005988024,3444.666667,0.096961486
